Name,Movies,Number of Movies,Url
Bruce Willis,"['Pulp Fiction', 'Piège de cristal', 'Sixième sens']",3,https://imdb.com/name/nm0000246?ref_=tt_cl_t_4
Tim Roth,"['Pulp Fiction', 'Reservoir Dogs']",2,https://imdb.com/name/nm0000619?ref_=tt_cl_t_5
Amanda Plummer,['Pulp Fiction'],1,https://imdb.com/name/nm0001625?ref_=tt_cl_t_6
Laura Lovelace,['Pulp Fiction'],1,https://imdb.com/name/nm0522503?ref_=tt_cl_t_7
Phil LaMarr,['Pulp Fiction'],1,https://imdb.com/name/nm0482851?ref_=tt_cl_t_8
Frank Whaley,['Pulp Fiction'],1,https://imdb.com/name/nm0001844?ref_=tt_cl_t_9
Burr Steers,['Pulp Fiction'],1,https://imdb.com/name/nm0824882?ref_=tt_cl_t_10
Alan Howard,"[""Le Seigneur des anneaux : La Communauté de l'anneau""]",1,https://imdb.com/name/nm0397102?ref_=tt_cl_t_5
Sala Baker,"[""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours']",2,https://imdb.com/name/nm1019674?ref_=tt_cl_t_8
Billy Boyd,"[""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours']",2,https://imdb.com/name/nm0101710?ref_=tt_cl_t_9
Andy Serkis,"[""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Prestige']",2,https://imdb.com/name/nm0785227?ref_=tt_cl_t_10
Clint Eastwood,"['Le Bon, la brute, le truand', '...et pour quelques dollars de plus', 'Impitoyable', 'Gran Torino', 'Million Dollar Baby']",5,https://imdb.com/name/nm0000142?ref_=tt_cl_t_1
Eli Wallach,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0908919?ref_=tt_cl_t_2
Lee Van Cleef,"['Le Bon, la brute, le truand', '...et pour quelques dollars de plus']",2,https://imdb.com/name/nm0001812?ref_=tt_cl_t_3
Aldo Giuffrè,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0321294?ref_=tt_cl_t_4
Luigi Pistilli,"['Le Bon, la brute, le truand', '...et pour quelques dollars de plus']",2,https://imdb.com/name/nm0685559?ref_=tt_cl_t_5
Rada Rassimov,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0711502?ref_=tt_cl_t_6
Enzo Petito,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0677654?ref_=tt_cl_t_7
Claudio Scarchilli,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0769116?ref_=tt_cl_t_8
John Bartha,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0058384?ref_=tt_cl_t_9
Livio Lorenzon,"['Le Bon, la brute, le truand']",1,https://imdb.com/name/nm0520859?ref_=tt_cl_t_10
Tom Hanks,"['Forrest Gump', 'Il faut sauver le soldat Ryan', 'La ligne verte', 'Toy Story', 'Toy Story 3', 'Arrête-moi si tu peux']",6,https://imdb.com/name/nm0000158?ref_=tt_cl_t_1
Robin Wright,['Forrest Gump'],1,https://imdb.com/name/nm0000705?ref_=tt_cl_t_2
Gary Sinise,['Forrest Gump'],1,https://imdb.com/name/nm0000641?ref_=tt_cl_t_3
Sally Field,['Forrest Gump'],1,https://imdb.com/name/nm0000398?ref_=tt_cl_t_4
